"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Dewan Perhimpunan Cina, Bentong",0,0,0,1,"3.5238914",101.9040737,"Bentong","","Pahang"
"Dewan Perpaduan Machang",0,0,0,1,"5.7631423",102.2124053,"Machang","","Kelantan"
"Dewan Persatuan Bisaya Limbang",0,0,0,1,"4.776644",115.003519,"Limbang","","Sarawak"
"Dewan Profesional UITM",0,0,0,1,"5.76056",102.27461,"Machang","","Kelantan"
"Dewan Puncak Arabella",0,0,0,1,"4.46414",101.38481,"Cameron Highlands","","Pahang"
"Dewan Pusat Islam Rantau",0,0,0,1,"2.5952011",101.9545663,"Seremban","","Negeri Sembilan"
"Dewan Pusat Latihan Anti Dadah Kebangsaan (PLAK)",0,0,0,1,"5.6260073",100.5305213,"Sungai Petani","","Kedah"
"Dewan Pusat Pentadbiran Kerajaan Persekutuan",0,0,0,1,"6.02873",116.11852,"Kota Kinabalu","","Sabah"
"Dewan Putra SBJ",0,0,0,1,"6.11529",102.21153,"Tumpat","","Kelantan"
"Dewan Raya Bandar Putra",0,0,0,1,"1.6538",103.6262,"Kulai","","Johor"
"Dewan Raya Bandar Seri Alam, Masai",0,0,0,1,"1.51294",103.86516,"Johor Bahru","","Johor"
"Dewan Raya Taman Universiti",0,0,0,1,"1.54103",103.63345,"Johor Bahru","","Johor"
"Dewan Rumpun Seri, Kolej Multimedia (Utara), Kompleks Telekom, Taiping",0,0,0,1,"4.8687298",100.7516063,"Larut, Matang dan Selama","","Perak"
"Dewan Rumpun Seri, Kompleks Telekom, Taiping",0,0,0,1,"4.8687494","100.75384430000001","Larut, Matang dan Selama","","Perak"
"Dewan Sains@Bertam Jalan Bertam 2",0,0,0,1,"","","Seberang Perai Utara","","Pulau Pinang"
"Dewan Samad Gul Pusat Tarbiyah Pas Rantau Panjang",0,0,0,1,"5.9996106",102.065074,"Pasir Mas","","Kelantan"
"Dewan Sekolah Menengah Karak Setia",0,0,0,1,"3.4274832",102.0518139,"Bentong","","Pahang"
"Dewan Sekolah Menengah Tengku Ampuan Afzan, Chenor",0,0,0,1,"3.4840895",102.5707411,"Maran","","Pahang"
"Dewan Semai Bakti Desa Kencana",0,0,0,1,"5.078786",119.0652878,"Lahad Datu","","Sabah"
"Dewan Semai Bakti Felda Chini 1",0,0,0,1,"3.3741379",102.9343438,"Pekan","","Pahang"
"Dewan Semai Bakti Felda Sebertak",0,0,0,1,"3.2556701",102.5999262,"Bera","","Pahang"
"Dewan Semai Bakti Felda Soeharto",0,0,0,1,"3.6764",101.3935,"Ulu Selangor","","Selangor"
"Dewan Semai Bakti Felda Tersang 3",0,0,0,1,"4.0807208",101.7962459,"Raub","","Pahang"
"Dewan Serbaguna Beluran",0,0,0,1,"5.8961361",117.5568196,"Beluran","","Sabah"
"Dewan Serbaguna Dabong",0,0,0,1,"5.37686",102.0098,"Kuala Krai","","Kelantan"
"Dewan Serbaguna Engkelili",0,0,0,1,"1.136179",111.667415,"Lubok Antu","","Sarawak"
"Dewan Serbaguna Engkilili",0,0,0,1,"1.13618",111.66742,"Lubok Antu","","Sarawak"
